Trial 0: RMSE = 1.809165137005204, Params = {'iterations': 262, 'depth': 6, 'learning_rate': 0.41595270063236317}
Trial 23: RMSE = 1.6735128378618473, Params = {'iterations': 325, 'depth': 9, 'learning_rate': 0.035495822209109074}
Trial 24: RMSE = 1.7005584732366616, Params = {'iterations': 390, 'depth': 7, 'learning_rate': 0.019285605315416867}
Trial 25: RMSE = 1.6668187069184652, Params = {'iterations': 450, 'depth': 8, 'learning_rate': 0.08027864804836539}
Trial 26: RMSE = 1.6680362697855744, Params = {'iterations': 389, 'depth': 9, 'learning_rate': 0.04595697849413905}
Trial 27: RMSE = 1.7128186273580435, Params = {'iterations': 254, 'depth': 10, 'learning_rate': 0.18213458922013737}
Trial 28: RMSE = 1.6711544618168217, Params = {'iterations': 315, 'depth': 8, 'learning_rate': 0.06259557788019256}
Trial 29: RMSE = 1.725865209710796, Params = {'iterations': 464, 'depth': 5, 'learning_rate': 0.022125479706763103}
Trial 30: RMSE = 1.7084916524936669, Params = {'iterations': 272, 'depth': 6, 'learning_rate': 0.0367660878274956}
Trial 31: RMSE = 1.6619769557708286, Params = {'iterations': 396, 'depth': 9, 'learning_rate': 0.053060714199085625}
Trial 32: RMSE = 1.664879764499631, Params = {'iterations': 409, 'depth': 9, 'learning_rate': 0.052182641025325924}
Trial 33: RMSE = 1.6717698326066082, Params = {'iterations': 411, 'depth': 8, 'learning_rate': 0.08748473609868973}
Trial 34: RMSE = 1.6692434573426163, Params = {'iterations': 409, 'depth': 10, 'learning_rate': 0.04106358688162987}
Trial 35: RMSE = 1.680516830781175, Params = {'iterations': 338, 'depth': 9, 'learning_rate': 0.02593355373980625}
Trial 36: RMSE = 1.682020535738847, Params = {'iterations': 418, 'depth': 7, 'learning_rate': 0.10749722013266547}
Trial 37: RMSE = 1.6875948140809787, Params = {'iterations': 457, 'depth': 10, 'learning_rate': 0.014333367592861487}
Trial 38: RMSE = 1.7490483418334766, Params = {'iterations': 375, 'depth': 4, 'learning_rate': 0.033957429587843334}
Trial 39: RMSE = 1.6641365997428108, Params = {'iterations': 294, 'depth': 9, 'learning_rate': 0.0728317934916601}
Trial 40: RMSE = 1.725144573489521, Params = {'iterations': 225, 'depth': 6, 'learning_rate': 0.25479083886215526}
Trial 41: RMSE = 1.6704177717973527, Params = {'iterations': 305, 'depth': 9, 'learning_rate': 0.057514715339332494}
Trial 42: RMSE = 1.6741557911924263, Params = {'iterations': 280, 'depth': 9, 'learning_rate': 0.08463672983759037}
Trial 43: RMSE = 1.673031647820526, Params = {'iterations': 328, 'depth': 8, 'learning_rate': 0.07667787240844072}
Trial 44: RMSE = 1.667793861381942, Params = {'iterations': 430, 'depth': 9, 'learning_rate': 0.04027344732387875}
Trial 45: RMSE = 1.6797688540603053, Params = {'iterations': 292, 'depth': 10, 'learning_rate': 0.06725164337610422}
Trial 46: RMSE = 1.6808790297561567, Params = {'iterations': 355, 'depth': 7, 'learning_rate': 0.09701412540397475}
Trial 47: RMSE = 1.7899816342325414, Params = {'iterations': 394, 'depth': 8, 'learning_rate': 0.4171840976180035}
Trial 48: RMSE = 1.7026529509082107, Params = {'iterations': 109, 'depth': 10, 'learning_rate': 0.1433298330873442}
Trial 49: RMSE = 1.6769732402021906, Params = {'iterations': 245, 'depth': 8, 'learning_rate': 0.05104929391584548}
